scenario_name,test_name,mode_free_or_anchored,time_s,world_frame_bag_translation_mm,world_frame_bag_rotation_deg,bag_frame_local_deformation_mm,shoulder_deflection_mm,top_patch_change_mm,lower_belly_opening_mm,width_reduction_mm,bottom_sag_mm,top_drop_mm
underfilled,shoulder_poke_left,free,0.0000,0.0020,0.0003,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.0200,0.2701,0.1129,0.1329,0.0051,0.0001,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.0400,0.6563,0.2334,0.3401,0.0104,0.0003,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.0600,0.9319,0.2805,0.5190,0.0159,0.0004,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.0800,1.0823,0.2864,0.5943,0.0216,0.0005,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.1000,1.1153,0.2864,0.5960,0.0276,0.0007,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.1200,1.1153,0.2864,0.5960,0.0337,0.0008,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.1400,1.1153,0.2864,0.5960,0.0402,0.0009,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.1600,1.1371,0.2864,0.5960,0.0467,0.0011,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.1800,1.2466,0.2864,0.5960,0.0535,0.0012,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.2000,1.3334,0.2864,0.5960,0.0604,0.0014,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.2200,1.4001,0.2864,0.5960,0.0675,0.0015,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,free,0.2390,1.4626,0.2864,0.5960,0.0743,0.0016,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.0000,0.0020,0.0003,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.0200,0.1232,0.0210,0.0504,0.0027,0.0001,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.0400,0.2255,0.0653,0.0985,0.0057,0.0003,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.0600,0.3036,0.0929,0.1468,0.0088,0.0004,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.0800,0.3664,0.1041,0.1953,0.0120,0.0005,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.1000,0.4234,0.1089,0.2439,0.0154,0.0007,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.1200,0.4793,0.1128,0.2926,0.0189,0.0008,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.1400,0.5342,0.1171,0.3414,0.0226,0.0009,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.1600,0.5870,0.1220,0.3904,0.0264,0.0011,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.1800,0.6367,0.1274,0.4395,0.0303,0.0012,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.2000,0.6828,0.1333,0.4888,0.0342,0.0014,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.2200,0.7246,0.1397,0.5381,0.0383,0.0015,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_right,free,0.2390,0.7598,0.1463,0.5851,0.0423,0.0016,0.0000,0.0000,0.0000,0.0000
underfilled,top_preload,free,0.0000,0.0020,0.0003,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
underfilled,top_preload,free,0.0200,0.1811,0.0254,0.0505,0.0023,0.0001,0.0000,0.0000,0.0366,0.0000
underfilled,top_preload,free,0.0400,0.2932,0.0399,0.1169,0.0046,0.0003,0.0000,0.0000,0.1169,0.0000
underfilled,top_preload,free,0.0600,0.3449,0.0404,0.1942,0.0070,0.0004,0.0000,0.0000,0.1942,0.0000
underfilled,top_preload,free,0.0800,0.3740,0.0404,0.2489,0.0094,0.0005,0.0000,0.0000,0.2489,0.0000
underfilled,top_preload,free,0.1000,0.3989,0.0404,0.2781,0.0119,0.0007,0.0000,0.0000,0.2781,0.0000
underfilled,top_preload,free,0.1200,0.4234,0.0404,0.2925,0.0145,0.0008,0.0000,0.0000,0.2849,0.0000
underfilled,top_preload,free,0.1400,0.4456,0.0404,0.3413,0.0172,0.0009,0.0000,0.0000,0.2849,0.0000
underfilled,top_preload,free,0.1600,0.4633,0.0404,0.3903,0.0199,0.0011,0.0000,0.0000,0.2849,0.0000
underfilled,top_preload,free,0.1800,0.4748,0.0404,0.4395,0.0226,0.0012,0.0000,0.0000,0.2849,0.0000
underfilled,top_preload,free,0.2000,0.4799,0.0405,0.4889,0.0254,0.0014,0.0000,0.0000,0.2849,0.0000
underfilled,top_preload,free,0.2200,0.4802,0.0453,0.5385,0.0283,0.0015,0.0000,0.0000,0.2849,0.0000
underfilled,top_preload,free,0.2390,0.4802,0.0489,0.5858,0.0310,0.0016,0.0000,0.0000,0.2849,0.0000
underfilled,side_push,free,0.0000,0.0020,0.0003,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.0200,0.0367,0.0289,0.0505,0.0010,0.0001,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.0400,0.0659,0.0603,0.0989,0.0019,0.0003,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.0600,0.0878,0.0729,0.1474,0.0028,0.0004,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.0800,0.1120,0.0742,0.1962,0.0037,0.0005,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.1000,0.1383,0.0742,0.2452,0.0046,0.0007,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.1200,0.1629,0.0742,0.2943,0.0056,0.0008,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.1400,0.1842,0.0767,0.3435,0.0065,0.0009,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.1600,0.2026,0.0811,0.3929,0.0074,0.0011,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.1800,0.2189,0.0858,0.4425,0.0083,0.0012,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.2000,0.2333,0.0903,0.4921,0.0092,0.0014,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.2200,0.2454,0.0948,0.5419,0.0101,0.0015,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.2400,0.2550,0.0993,0.5918,0.0109,0.0016,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.2600,0.2625,0.1033,0.6417,0.0118,0.0018,0.0000,0.0000,0.0000,0.0000
underfilled,side_push,free,0.2790,0.2682,0.1046,0.6893,0.0127,0.0019,0.0000,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.0000,0.0020,0.0003,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.0200,0.6195,0.1308,0.4080,0.0010,0.0001,0.0000,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.0400,1.8772,0.1942,2.9630,0.0018,0.0003,0.0000,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.0600,3.5032,0.5789,2.9630,0.0026,0.0004,0.0002,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.0800,4.6674,0.5789,2.9630,0.0040,0.0005,0.0006,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.1000,6.0511,0.6289,2.9630,0.0043,0.0007,0.0014,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.1200,7.6567,0.7100,3.0366,0.0052,0.0008,0.0028,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.1400,8.4279,0.9043,3.0366,0.0064,0.0009,0.0049,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.1600,8.9284,0.9973,3.0366,0.0074,0.0011,0.0080,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.1800,9.4483,1.3581,3.0366,0.0080,0.0012,0.0122,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.2000,9.9692,1.8301,3.2066,0.0088,0.0013,0.0177,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.2200,10.0283,2.2551,3.5491,0.0099,0.0015,0.0248,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.2400,10.0283,2.5579,3.5532,0.0107,0.0016,0.0337,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.2600,10.0283,2.8627,3.5532,0.0117,0.0017,0.0444,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.2800,10.0283,3.1716,3.5532,0.0123,0.0019,0.0573,0.0000,0.0000,0.0000
underfilled,scoop_insert,free,0.2990,10.0283,3.5049,4.1383,0.0133,0.0020,0.0716,0.0000,0.0000,0.0000
underfilled,support_release,free,0.0000,0.0020,0.0003,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.0200,0.0469,0.0031,0.0505,0.0010,0.0001,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.0400,0.0835,0.0052,0.0987,0.0019,0.0003,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.0600,0.1111,0.0089,0.1471,0.0028,0.0004,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.0800,0.1357,0.0134,0.1956,0.0037,0.0005,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.1000,0.1593,0.0176,0.2442,0.0046,0.0007,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.1200,0.1818,0.0211,0.2930,0.0056,0.0008,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.1400,0.2021,0.0242,0.3420,0.0065,0.0009,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.1600,0.2188,0.0262,0.3910,0.0074,0.0011,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.1800,0.2304,0.0262,0.4401,0.0083,0.0012,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.2000,0.2379,0.0262,0.4893,0.0092,0.0014,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.2200,0.2433,0.0262,0.5385,0.0101,0.0015,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.2400,0.2490,0.0262,0.5876,0.0110,0.0016,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.2600,0.2567,0.0262,0.6368,0.0118,0.0018,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.2800,0.2681,0.0262,0.6859,0.0127,0.0019,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.3000,0.2831,0.0262,0.7349,0.0136,0.0020,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.3200,0.3030,0.0262,0.7838,0.0145,0.0021,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.3400,0.3310,0.0262,0.8326,0.0154,0.0023,0.0000,0.0000,0.0000,0.0000
underfilled,support_release,free,0.3590,0.3647,0.0262,0.8789,0.0162,0.0024,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.0000,0.0020,0.0003,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.0200,0.0469,0.0031,0.0505,0.0010,0.0001,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.0400,0.0835,0.0052,0.0987,0.0019,0.0003,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.0600,0.1111,0.0089,0.1471,0.0028,0.0004,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.0800,0.1357,0.0134,0.1956,0.0037,0.0005,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.1000,0.1593,0.0176,0.2442,0.0046,0.0007,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.1200,0.1818,0.0211,0.2930,0.0056,0.0008,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.1400,0.2021,0.0242,0.3420,0.0065,0.0009,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.1600,0.2188,0.0262,0.3910,0.0074,0.0011,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.1800,0.2304,0.0262,0.4401,0.0083,0.0012,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.2000,0.2379,0.0262,0.4893,0.0092,0.0014,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.2200,0.2433,0.0262,0.5385,0.0101,0.0015,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.2400,0.2490,0.0262,0.5876,0.0110,0.0016,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.2600,0.2567,0.0262,0.6368,0.0118,0.0018,0.0000,0.0000,0.0000,0.0000
underfilled,fold_brushing,free,0.2790,0.2674,0.0262,0.6834,0.0127,0.0019,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,anchored,0.0000,0.0020,0.0003,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,anchored,0.0200,0.2282,0.0831,0.1324,0.0051,0.0001,0.0000,0.0000,0.0000,0.0000
underfilled,shoulder_poke_left,anchored,0.0400,0.4224,0.1095,0.3396,0.0103,0.0003,0.0000,0.0000,0.0000,0.0000
