scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,shoulder_poke_left,free,back_face_00_hinge,hinge_deg,0.796986,False
underfilled,shoulder_poke_left,free,back_face_01_hinge,hinge_deg,0.847773,False
underfilled,shoulder_poke_left,free,back_face_02_hinge,hinge_deg,0.792717,False
underfilled,shoulder_poke_left,free,back_face_03_hinge,hinge_deg,0.638245,False
underfilled,shoulder_poke_left,free,bottom_sling_slide,slide_mm,0.595420,False
underfilled,shoulder_poke_left,free,fold_patch_left_hinge,hinge_deg,0.691789,False
underfilled,shoulder_poke_left,free,fold_patch_right_hinge,hinge_deg,1.011331,False
underfilled,shoulder_poke_left,free,front_face_00_hinge,hinge_deg,0.775352,False
underfilled,shoulder_poke_left,free,front_face_01_hinge,hinge_deg,0.826729,False
underfilled,shoulder_poke_left,free,front_face_02_hinge,hinge_deg,0.771778,False
underfilled,shoulder_poke_left,free,front_face_03_hinge,hinge_deg,0.614062,False
underfilled,shoulder_poke_left,free,lower_belly_00_hinge,hinge_deg,0.348004,False
underfilled,shoulder_poke_left,free,lower_belly_01_hinge,hinge_deg,0.352160,False
underfilled,shoulder_poke_left,free,lower_belly_02_hinge,hinge_deg,0.353453,False
underfilled,shoulder_poke_left,free,lower_belly_03_hinge,hinge_deg,0.352803,False
underfilled,shoulder_poke_left,free,payload_aux_x,slide_mm,0.187579,False
underfilled,shoulder_poke_left,free,payload_aux_y,slide_mm,0.635826,False
underfilled,shoulder_poke_left,free,payload_aux_z,slide_mm,0.449386,True
underfilled,shoulder_poke_left,free,payload_main_x,slide_mm,0.104079,False
underfilled,shoulder_poke_left,free,payload_main_y,slide_mm,0.643633,False
underfilled,shoulder_poke_left,free,payload_main_z,slide_mm,0.489356,False
underfilled,shoulder_poke_left,free,shoulder_left_00_hinge,hinge_deg,1.066467,False
underfilled,shoulder_poke_left,free,shoulder_left_01_hinge,hinge_deg,0.162544,False
underfilled,shoulder_poke_left,free,shoulder_left_02_hinge,hinge_deg,0.851624,False
underfilled,shoulder_poke_left,free,shoulder_right_00_hinge,hinge_deg,0.959811,False
underfilled,shoulder_poke_left,free,shoulder_right_01_hinge,hinge_deg,0.001890,False
underfilled,shoulder_poke_left,free,shoulder_right_02_hinge,hinge_deg,0.954139,False
underfilled,shoulder_poke_left,free,side_gusset_left_00_hinge,hinge_deg,1.056426,False
underfilled,shoulder_poke_left,free,side_gusset_left_01_hinge,hinge_deg,0.984411,False
underfilled,shoulder_poke_left,free,side_gusset_right_00_hinge,hinge_deg,1.068378,False
underfilled,shoulder_poke_left,free,side_gusset_right_01_hinge,hinge_deg,0.996252,False
underfilled,shoulder_poke_left,free,top_seam_00_hinge,hinge_deg,0.024782,False
underfilled,shoulder_poke_left,free,top_seam_01_hinge,hinge_deg,0.098757,False
underfilled,shoulder_poke_left,free,top_seam_02_hinge,hinge_deg,0.034873,False
underfilled,shoulder_poke_left,free,top_seam_03_hinge,hinge_deg,0.011609,False
underfilled,shoulder_poke_left,free,top_seam_04_hinge,hinge_deg,0.041126,False
underfilled,shoulder_poke_left,free,top_seam_05_hinge,hinge_deg,0.022152,False
underfilled,shoulder_poke_left,free,top_seam_06_hinge,hinge_deg,0.031698,False
underfilled,shoulder_poke_right,free,back_face_00_hinge,hinge_deg,0.864385,False
underfilled,shoulder_poke_right,free,back_face_01_hinge,hinge_deg,0.912969,False
underfilled,shoulder_poke_right,free,back_face_02_hinge,hinge_deg,0.857790,False
underfilled,shoulder_poke_right,free,back_face_03_hinge,hinge_deg,0.704847,False
underfilled,shoulder_poke_right,free,bottom_sling_slide,slide_mm,0.113565,False
underfilled,shoulder_poke_right,free,fold_patch_left_hinge,hinge_deg,0.697619,False
underfilled,shoulder_poke_right,free,fold_patch_right_hinge,hinge_deg,1.014941,False
underfilled,shoulder_poke_right,free,front_face_00_hinge,hinge_deg,0.779363,False
underfilled,shoulder_poke_right,free,front_face_01_hinge,hinge_deg,0.830393,False
underfilled,shoulder_poke_right,free,front_face_02_hinge,hinge_deg,0.775473,False
underfilled,shoulder_poke_right,free,front_face_03_hinge,hinge_deg,0.618018,False
underfilled,shoulder_poke_right,free,lower_belly_00_hinge,hinge_deg,0.417272,False
underfilled,shoulder_poke_right,free,lower_belly_01_hinge,hinge_deg,0.420412,False
underfilled,shoulder_poke_right,free,lower_belly_02_hinge,hinge_deg,0.420187,False
underfilled,shoulder_poke_right,free,lower_belly_03_hinge,hinge_deg,0.418100,False
underfilled,shoulder_poke_right,free,payload_aux_x,slide_mm,0.195683,False
underfilled,shoulder_poke_right,free,payload_aux_y,slide_mm,0.635194,False
underfilled,shoulder_poke_right,free,payload_aux_z,slide_mm,0.405486,True
underfilled,shoulder_poke_right,free,payload_main_x,slide_mm,0.100676,False
underfilled,shoulder_poke_right,free,payload_main_y,slide_mm,0.551949,False
underfilled,shoulder_poke_right,free,payload_main_z,slide_mm,0.206027,False
underfilled,shoulder_poke_right,free,shoulder_left_00_hinge,hinge_deg,0.982940,False
underfilled,shoulder_poke_right,free,shoulder_left_01_hinge,hinge_deg,0.023743,False
underfilled,shoulder_poke_right,free,shoulder_left_02_hinge,hinge_deg,0.934829,False
underfilled,shoulder_poke_right,free,shoulder_right_00_hinge,hinge_deg,1.014458,False
underfilled,shoulder_poke_right,free,shoulder_right_01_hinge,hinge_deg,0.092603,False
underfilled,shoulder_poke_right,free,shoulder_right_02_hinge,hinge_deg,0.899959,False
underfilled,shoulder_poke_right,free,side_gusset_left_00_hinge,hinge_deg,1.117715,False
underfilled,shoulder_poke_right,free,side_gusset_left_01_hinge,hinge_deg,1.045704,False
underfilled,shoulder_poke_right,free,side_gusset_right_00_hinge,hinge_deg,1.068378,False
underfilled,shoulder_poke_right,free,side_gusset_right_01_hinge,hinge_deg,0.996243,False
underfilled,shoulder_poke_right,free,top_seam_00_hinge,hinge_deg,0.024777,False
underfilled,shoulder_poke_right,free,top_seam_01_hinge,hinge_deg,0.098749,False
underfilled,shoulder_poke_right,free,top_seam_02_hinge,hinge_deg,0.034867,False
underfilled,shoulder_poke_right,free,top_seam_03_hinge,hinge_deg,0.011580,False
underfilled,shoulder_poke_right,free,top_seam_04_hinge,hinge_deg,0.041116,False
underfilled,shoulder_poke_right,free,top_seam_05_hinge,hinge_deg,0.022143,False
underfilled,shoulder_poke_right,free,top_seam_06_hinge,hinge_deg,0.031691,False
underfilled,top_preload,free,back_face_00_hinge,hinge_deg,0.868632,False
underfilled,top_preload,free,back_face_01_hinge,hinge_deg,0.917596,False
underfilled,top_preload,free,back_face_02_hinge,hinge_deg,0.862535,False
underfilled,top_preload,free,back_face_03_hinge,hinge_deg,0.709689,False
underfilled,top_preload,free,bottom_sling_slide,slide_mm,0.285470,False
underfilled,top_preload,free,fold_patch_left_hinge,hinge_deg,0.697146,False
underfilled,top_preload,free,fold_patch_right_hinge,hinge_deg,1.015320,False
underfilled,top_preload,free,front_face_00_hinge,hinge_deg,0.777064,False
underfilled,top_preload,free,front_face_01_hinge,hinge_deg,0.828081,False
underfilled,top_preload,free,front_face_02_hinge,hinge_deg,0.773108,False
underfilled,top_preload,free,front_face_03_hinge,hinge_deg,0.615453,False
underfilled,top_preload,free,lower_belly_00_hinge,hinge_deg,0.450528,False
underfilled,top_preload,free,lower_belly_01_hinge,hinge_deg,0.454494,False
underfilled,top_preload,free,lower_belly_02_hinge,hinge_deg,0.455367,False
underfilled,top_preload,free,lower_belly_03_hinge,hinge_deg,0.454173,False
underfilled,top_preload,free,payload_aux_x,slide_mm,0.203973,False
underfilled,top_preload,free,payload_aux_y,slide_mm,0.599622,False
underfilled,top_preload,free,payload_aux_z,slide_mm,0.334938,True
underfilled,top_preload,free,payload_main_x,slide_mm,0.098359,False
underfilled,top_preload,free,payload_main_y,slide_mm,0.620452,False
underfilled,top_preload,free,payload_main_z,slide_mm,0.148238,False
underfilled,top_preload,free,shoulder_left_00_hinge,hinge_deg,1.009350,False
underfilled,top_preload,free,shoulder_left_01_hinge,hinge_deg,0.067810,False
underfilled,top_preload,free,shoulder_left_02_hinge,hinge_deg,0.908325,False
underfilled,top_preload,free,shoulder_right_00_hinge,hinge_deg,0.984980,False
underfilled,top_preload,free,shoulder_right_01_hinge,hinge_deg,0.043496,False
underfilled,top_preload,free,shoulder_right_02_hinge,hinge_deg,0.929432,False
underfilled,top_preload,free,side_gusset_left_00_hinge,hinge_deg,1.119062,False
underfilled,top_preload,free,side_gusset_left_01_hinge,hinge_deg,1.047017,False
underfilled,top_preload,free,side_gusset_right_00_hinge,hinge_deg,1.069020,False
underfilled,top_preload,free,side_gusset_right_01_hinge,hinge_deg,0.996844,False
underfilled,top_preload,free,top_seam_00_hinge,hinge_deg,0.024777,False
underfilled,top_preload,free,top_seam_01_hinge,hinge_deg,0.098748,False
underfilled,top_preload,free,top_seam_02_hinge,hinge_deg,0.034866,False
underfilled,top_preload,free,top_seam_03_hinge,hinge_deg,0.011582,False
underfilled,top_preload,free,top_seam_04_hinge,hinge_deg,0.041116,False
underfilled,top_preload,free,top_seam_05_hinge,hinge_deg,0.022143,False
underfilled,top_preload,free,top_seam_06_hinge,hinge_deg,0.031691,False
