scenario_name,test_name,mode_free_or_anchored,world_frame_bag_translation_mm,world_frame_bag_rotation_deg,bag_frame_local_deformation_mm,rigid_like_flag,shoulder_joint_max_delta_deg,belly_joint_max_delta_deg,fold_joint_max_delta_deg,bottom_sling_max_travel_mm,joint_limit_hit_count,shoulder_deflection_mm,top_patch_change_mm,lower_belly_opening_mm,width_reduction_mm,bottom_sag_mm,top_drop_mm,fold_exposed_fraction_before_after,requested_target_label,actual_region_label_at_close,trapped_patch_count,pull_test_slip_mm,load_following_ratio,scoop_engaged,support_state_formed
underfilled,shoulder_poke_left,free,1.4626,0.2864,0.5960,False,1.0665,0.3535,1.0113,0.5954,1,0.0743,0.0016,0.0000,0.0000,0.0000,0.0000,1.000->1.000,shoulder_left,shoulder_left,4,1.4626,0.0000,False,False
underfilled,shoulder_poke_right,free,0.7598,0.1463,0.5851,False,1.0145,0.4204,1.0149,0.1136,1,0.0423,0.0016,0.0000,0.0000,0.0000,0.0000,1.000->1.000,shoulder_right,shoulder_right,4,0.7598,0.0000,False,False
underfilled,top_preload,free,0.4802,0.0489,0.5858,False,1.0094,0.4554,1.0153,0.2855,1,0.0310,0.0016,0.0000,0.0000,0.2849,0.0000,1.000->1.000,top_seam,top_seam,4,0.4802,2.0000,False,False
underfilled,side_push,free,0.2682,0.1046,0.6893,False,1.1442,0.4659,1.2067,0.1576,1,0.0127,0.0019,0.0000,0.0000,0.0000,0.0000,1.000->1.000,side_gusset,side_gusset,4,0.0000,0.0000,False,False
underfilled,scoop_insert,free,10.0283,3.5049,4.1383,False,1.2540,4.3607,1.3122,4.2159,1,0.0133,0.0020,0.0716,0.0000,0.0000,0.0000,1.000->1.000,lower_belly,lower_belly,4,0.0000,0.0000,True,False
underfilled,support_release,free,0.3647,0.0262,0.8789,False,1.4600,0.5964,1.5895,0.1476,1,0.0162,0.0024,0.0000,0.0000,0.0000,0.0000,1.000->1.000,hidden_support,hidden_support,4,0.0000,0.0000,False,False
underfilled,fold_brushing,free,0.2674,0.0262,0.6834,False,1.1443,0.4815,1.2060,0.0487,1,0.0127,0.0019,0.0000,0.0000,0.0000,0.0000,1.000->1.000,not_applicable,not_applicable,4,0.0000,0.0000,False,False
underfilled,shoulder_poke_left,anchored,1.2325,0.1095,0.5625,False,1.0665,0.3589,1.0122,0.5013,1,0.0744,0.0016,0.0000,0.0000,0.0000,0.0000,1.000->1.000,shoulder_left,shoulder_left,4,1.2325,0.0000,False,False
underfilled,shoulder_poke_right,anchored,0.7304,0.1323,0.5847,False,1.0145,0.4234,1.0149,0.0924,1,0.0423,0.0016,0.0000,0.0000,0.0000,0.0000,1.000->1.000,shoulder_right,shoulder_right,4,0.7304,0.0000,False,False
underfilled,top_preload,anchored,0.4725,0.0421,0.5855,False,1.0094,0.4552,1.0153,0.2849,1,0.0310,0.0016,0.0000,0.0000,0.2844,0.0000,1.000->1.000,top_seam,top_seam,4,0.4725,2.0000,False,False
underfilled,side_push,anchored,0.2642,0.1004,0.6887,False,1.1442,0.4669,1.2067,0.1495,1,0.0127,0.0019,0.0000,0.0000,0.0000,0.0000,1.000->1.000,side_gusset,side_gusset,4,0.0000,0.0000,False,False
underfilled,scoop_insert,anchored,3.2738,1.5500,3.5959,False,1.2541,4.3450,1.3128,3.5954,1,0.0133,0.0020,0.0713,0.0000,0.0000,0.0000,1.000->1.000,lower_belly,lower_belly,4,0.0000,0.0000,True,False
underfilled,support_release,anchored,0.3576,0.0236,0.8788,False,1.4600,0.5957,1.5895,0.1501,1,0.0162,0.0024,0.0000,0.0000,0.0000,0.0000,1.000->1.000,hidden_support,hidden_support,4,0.0000,0.0000,False,False
underfilled,fold_brushing,anchored,0.2633,0.0195,0.6831,False,1.1443,0.4810,1.2060,0.0582,1,0.0127,0.0019,0.0000,0.0000,0.0000,0.0000,1.000->1.000,not_applicable,not_applicable,4,0.0000,0.0000,False,False
