scenario_name,test_name,mode_free_or_anchored,time_s,world_frame_bag_translation_mm,world_frame_bag_rotation_deg,bag_frame_local_deformation_mm,shoulder_deflection_mm,top_patch_change_mm,lower_belly_opening_mm,width_reduction_mm,bottom_sag_mm,top_drop_mm
underfilled,shoulder_poke_left,free,0.0000,0.0017,0.0000,0.0026,0.0526,0.0007,0.0024,0.0000,0.0354,0.0000
underfilled,shoulder_poke_left,free,0.0200,0.8370,0.5961,3.8479,1.8871,0.0169,3.8479,0.0000,0.7561,0.0000
underfilled,shoulder_poke_left,free,0.0400,2.1619,1.3380,7.7837,3.8233,0.0309,7.7837,0.0000,1.9612,0.0000
underfilled,shoulder_poke_left,free,0.0600,3.3771,1.9946,11.2338,5.6481,0.0474,11.2338,0.0000,3.1451,0.0000
underfilled,shoulder_poke_left,free,0.0800,4.5043,2.6298,14.6874,7.4135,0.0641,14.5036,0.0000,3.9510,0.0000
underfilled,shoulder_poke_left,free,0.1000,5.5042,3.2409,18.3494,9.1363,0.0809,17.6830,0.0000,4.3361,0.0000
underfilled,shoulder_poke_left,free,0.1200,6.4773,3.8592,22.1639,10.8847,0.0984,21.0188,0.0000,4.5541,0.0000
underfilled,shoulder_poke_left,free,0.1400,7.4017,4.4645,25.8201,12.6987,0.1164,24.5375,0.0000,5.3177,0.0000
underfilled,shoulder_poke_left,free,0.1600,8.3518,5.0677,29.4202,14.5014,0.1349,28.0669,0.0000,5.8056,0.0000
underfilled,shoulder_poke_left,free,0.1800,9.3304,5.6647,33.0196,16.2656,0.1535,31.4960,0.0000,6.0231,0.0000
underfilled,shoulder_poke_left,free,0.2000,10.3160,6.2561,36.5628,18.0165,0.1728,34.8816,0.0000,6.2164,0.0000
underfilled,shoulder_poke_left,free,0.2200,11.2931,6.8516,40.1261,19.7685,0.1925,38.2776,0.0000,6.4399,0.0000
underfilled,shoulder_poke_left,free,0.2390,12.1922,7.4103,43.4838,21.4253,0.2118,41.4866,0.0000,6.6315,0.0000
underfilled,shoulder_poke_right,free,0.0000,0.0017,0.0000,0.0026,0.0520,0.0007,0.0024,0.0000,0.0341,0.0000
underfilled,shoulder_poke_right,free,0.0200,0.8578,0.5963,3.8630,1.8892,0.0156,3.8630,0.0000,0.7207,0.0000
underfilled,shoulder_poke_right,free,0.0400,2.1823,1.3398,7.7985,3.8233,0.0335,7.7985,0.0000,1.9010,0.0000
underfilled,shoulder_poke_right,free,0.0600,3.3868,1.9860,11.2025,5.6366,0.0492,11.2025,0.0000,3.0781,0.0000
underfilled,shoulder_poke_right,free,0.0800,4.5422,2.6210,14.5567,7.3996,0.0663,14.4538,0.0000,3.9118,0.0000
underfilled,shoulder_poke_right,free,0.1000,5.6035,3.2631,18.4438,9.1409,0.0833,17.7124,0.0000,4.3060,0.0000
underfilled,shoulder_poke_right,free,0.1200,6.5674,3.8984,22.3041,10.8969,0.1008,21.0902,0.0000,4.4889,0.0000
underfilled,shoulder_poke_right,free,0.1400,7.4695,4.5128,26.1057,12.7329,0.1188,24.6950,0.0000,5.2982,0.0000
underfilled,shoulder_poke_right,free,0.1600,8.4107,5.1214,29.8765,14.5481,0.1374,28.3040,0.0000,5.6736,0.0000
underfilled,shoulder_poke_right,free,0.1800,9.3988,5.7331,33.5725,16.3537,0.1562,31.9004,0.0000,5.9644,0.0000
underfilled,shoulder_poke_right,free,0.2000,10.3620,6.3306,37.2352,18.1800,0.1756,35.5148,0.0000,6.6299,0.0000
underfilled,shoulder_poke_right,free,0.2200,11.3356,6.9289,40.8740,19.9441,0.1953,38.9760,0.0000,6.7836,0.0000
underfilled,shoulder_poke_right,free,0.2390,12.2392,7.4909,44.3406,21.5755,0.2144,42.1456,0.0000,6.7888,0.0000
underfilled,top_preload,free,0.0000,0.0017,0.0000,0.0026,0.0071,0.0007,0.0024,0.0000,0.0451,0.0000
underfilled,top_preload,free,0.0200,63.5003,59.2876,238.1619,44.3274,154.6918,155.5373,0.0000,227.0698,5.8936
underfilled,top_preload,free,0.0400,108.6188,90.9845,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,7.6144
underfilled,top_preload,free,0.0600,123.8020,91.7978,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,15.4106
underfilled,top_preload,free,0.0800,129.4836,91.7978,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239
underfilled,top_preload,free,0.1000,136.9081,91.7978,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239
underfilled,top_preload,free,0.1200,145.1023,91.7978,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239
underfilled,top_preload,free,0.1400,151.6052,91.7978,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239
underfilled,top_preload,free,0.1600,153.6890,91.7978,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239
underfilled,top_preload,free,0.1800,153.6890,91.7978,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239
underfilled,top_preload,free,0.2000,153.6890,95.6551,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239
underfilled,top_preload,free,0.2200,153.6890,103.2615,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239
underfilled,top_preload,free,0.2390,153.6890,109.2628,325.3381,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239
underfilled,side_push,free,0.0000,0.0017,0.0000,0.0026,0.0088,0.0007,0.0024,0.0000,0.0020,0.0000
underfilled,side_push,free,0.0200,0.0770,0.0019,0.5682,0.2729,0.0159,0.7968,0.0000,0.3089,0.0000
underfilled,side_push,free,0.0400,0.1122,0.0030,1.0124,0.5389,0.0316,1.3724,0.0000,0.6912,0.0000
underfilled,side_push,free,0.0600,0.1166,0.0035,1.3324,0.7626,0.0477,1.6820,0.0000,0.9265,0.0000
underfilled,side_push,free,0.0800,0.1166,0.0038,1.5783,0.9529,0.0643,1.8247,0.0000,0.9942,0.0000
underfilled,side_push,free,0.1000,0.1166,0.0046,1.7707,1.1236,0.0814,1.8820,0.0000,0.9943,0.0000
underfilled,side_push,free,0.1200,0.1166,0.0056,1.9369,1.2845,0.0990,1.9015,0.0000,0.9943,0.0000
underfilled,side_push,free,0.1400,0.1166,0.0066,2.0940,1.4419,0.1170,1.9110,0.0000,0.9943,0.0000
underfilled,side_push,free,0.1600,0.1166,0.0075,2.2514,1.5996,0.1355,1.9252,0.0000,0.9943,0.0000
underfilled,side_push,free,0.1800,0.1166,0.0083,2.4106,1.7579,0.1543,1.9473,0.0000,1.0411,0.0000
underfilled,side_push,free,0.2000,0.1166,0.0091,2.5687,1.9156,0.1735,1.9746,0.0000,1.1678,0.0000
underfilled,side_push,free,0.2200,0.1166,0.0097,2.7221,2.0715,0.1931,2.0157,0.0000,1.2883,0.0000
underfilled,side_push,free,0.2400,0.1166,0.0104,2.8690,2.2246,0.2130,2.0900,0.0000,1.4061,0.0000
underfilled,side_push,free,0.2600,0.1166,0.0111,3.0089,2.3750,0.2333,2.1600,0.0000,1.5220,0.0000
underfilled,side_push,free,0.2790,0.1166,0.0117,3.1362,2.5157,0.2529,2.2227,0.0000,1.6301,0.0000
underfilled,scoop_insert,free,0.0000,0.0017,0.0000,0.0026,0.2584,0.0007,0.0024,0.0000,2.1968,0.0000
underfilled,scoop_insert,free,0.0200,6.7419,0.2137,412.5898,66.1210,0.0674,306.2296,0.0000,378.4548,0.0000
underfilled,scoop_insert,free,0.0400,33.0764,0.3805,423.1459,192.7854,0.3402,347.0589,0.0000,420.0158,0.0000
underfilled,scoop_insert,free,0.0600,48.5235,1.2561,423.1459,286.6491,1.7991,347.0589,0.0000,420.0158,0.0009
underfilled,scoop_insert,free,0.0800,60.6314,1.5988,423.1459,368.6101,2.3736,347.0589,0.0000,420.0158,0.0015
underfilled,scoop_insert,free,0.1000,64.5625,1.6714,423.1459,428.2924,2.3736,347.0589,0.0000,420.0158,0.0015
underfilled,scoop_insert,free,0.1200,75.6966,2.1237,432.5781,479.5836,2.3736,370.2255,0.0000,432.5249,0.0015
underfilled,scoop_insert,free,0.1400,78.0571,2.2866,432.5781,519.0832,2.3736,370.2255,0.0000,432.5249,0.0015
underfilled,scoop_insert,free,0.1600,78.0571,2.5084,432.5781,561.4826,2.3736,370.2255,0.0000,432.5249,0.0015
underfilled,scoop_insert,free,0.1800,78.0571,3.0791,432.5781,599.3388,2.3736,370.2255,0.0000,432.5249,0.0024
underfilled,scoop_insert,free,0.2000,78.0571,5.0429,432.5781,630.0021,2.8337,370.2255,0.0000,432.5249,0.0050
underfilled,scoop_insert,free,0.2200,78.0571,5.6938,432.5781,688.3302,3.0590,370.2255,0.0000,432.5249,0.0061
underfilled,scoop_insert,free,0.2400,78.0571,5.6938,432.5781,740.1038,3.0590,370.2255,0.0000,432.5249,0.0062
underfilled,scoop_insert,free,0.2600,78.0571,5.6938,432.5781,761.5922,3.1794,370.2255,0.0000,432.5249,0.0077
underfilled,scoop_insert,free,0.2800,78.0571,5.6938,432.5781,787.7417,3.6361,370.2255,0.0000,432.5249,0.0103
underfilled,scoop_insert,free,0.3000,78.0571,5.6938,458.8660,810.8461,4.0114,370.2255,0.0000,457.8849,0.0130
underfilled,scoop_insert,free,0.3200,78.0571,5.6938,458.8660,816.2198,4.5460,370.2255,0.0000,457.8849,0.0167
underfilled,scoop_insert,free,0.3400,78.0571,6.1848,458.8660,834.4677,4.9282,370.2255,0.0000,457.8849,0.0202
underfilled,scoop_insert,free,0.3590,78.0571,6.3584,458.8660,851.8275,5.4289,370.2255,0.0000,457.8849,0.0246
underfilled,support_release,free,0.0000,0.0017,0.0000,0.0026,0.0009,0.0007,0.0024,0.0000,0.0020,0.0000
underfilled,support_release,free,0.0200,0.0350,0.0011,0.0532,0.0182,0.0159,0.0508,0.0000,0.0403,0.0000
underfilled,support_release,free,0.0400,0.0679,0.0020,0.1033,0.0353,0.0316,0.0986,0.0000,0.0778,0.0000
underfilled,support_release,free,0.0600,0.0999,0.0029,0.1524,0.0521,0.0478,0.1458,0.0000,0.1140,0.0000
underfilled,support_release,free,0.0800,0.1317,0.0036,0.2006,0.0686,0.0644,0.1926,0.0000,0.1494,0.0000
underfilled,support_release,free,0.1000,0.1632,0.0044,0.2481,0.0848,0.0816,0.2393,0.0000,0.1840,0.0000
underfilled,support_release,free,0.1200,0.1945,0.0051,0.2949,0.1008,0.0992,0.2855,0.0000,0.2179,0.0000
underfilled,support_release,free,0.1400,0.2251,0.0059,0.3402,0.1165,0.1172,0.3311,0.0000,0.2511,0.0000
