scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,shoulder_poke_left,free,ballast_aux_1_x,slide_mm,0.019397,False
underfilled,shoulder_poke_left,free,ballast_aux_1_y,slide_mm,1.657526,False
underfilled,shoulder_poke_left,free,ballast_aux_1_z,slide_mm,1.594476,False
underfilled,shoulder_poke_left,free,ballast_aux_2_x,slide_mm,0.467150,False
underfilled,shoulder_poke_left,free,ballast_aux_2_y,slide_mm,0.952815,False
underfilled,shoulder_poke_left,free,ballast_aux_2_z,slide_mm,1.497209,False
underfilled,shoulder_poke_left,free,ballast_aux_3_x,slide_mm,0.032366,False
underfilled,shoulder_poke_left,free,ballast_aux_3_y,slide_mm,1.172747,False
underfilled,shoulder_poke_left,free,ballast_aux_3_z,slide_mm,1.958100,False
underfilled,shoulder_poke_left,free,ballast_main_x,slide_mm,0.034046,False
underfilled,shoulder_poke_left,free,ballast_main_y,slide_mm,3.246161,False
underfilled,shoulder_poke_left,free,ballast_main_z,slide_mm,0.858205,False
underfilled,shoulder_poke_left,free,inner_back_load_00_hinge,hinge_deg,0.049012,False
underfilled,shoulder_poke_left,free,inner_back_load_01_hinge,hinge_deg,0.049004,False
underfilled,shoulder_poke_left,free,inner_back_load_02_hinge,hinge_deg,0.049004,False
underfilled,shoulder_poke_left,free,inner_back_load_03_hinge,hinge_deg,0.049422,False
underfilled,shoulder_poke_left,free,inner_back_load_04_hinge,hinge_deg,0.048984,False
underfilled,shoulder_poke_left,free,inner_bottom_load_00_hinge,hinge_deg,0.002093,False
underfilled,shoulder_poke_left,free,inner_bottom_load_01_hinge,hinge_deg,0.006358,False
underfilled,shoulder_poke_left,free,inner_bottom_load_02_hinge,hinge_deg,0.001072,False
underfilled,shoulder_poke_left,free,inner_front_load_00_hinge,hinge_deg,0.037138,False
underfilled,shoulder_poke_left,free,inner_front_load_01_hinge,hinge_deg,0.039865,False
underfilled,shoulder_poke_left,free,inner_front_load_02_hinge,hinge_deg,0.046440,False
underfilled,shoulder_poke_left,free,inner_front_load_03_hinge,hinge_deg,0.039863,False
underfilled,shoulder_poke_left,free,inner_front_load_04_hinge,hinge_deg,0.037196,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_center_hinge,hinge_deg,0.683624,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_left_00_hinge,hinge_deg,1.351541,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_left_01_hinge,hinge_deg,1.611946,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_left_02_hinge,hinge_deg,1.981546,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_left_03_hinge,hinge_deg,1.247671,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_left_04_hinge,hinge_deg,0.350204,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_left_05_hinge,hinge_deg,1.506724,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_left_06_hinge,hinge_deg,0.347939,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_left_07_hinge,hinge_deg,1.259101,False
underfilled,shoulder_poke_left,free,outer_bottom_edge_left_08_hinge,hinge_deg,2.020148,False
