scenario_name,test_name,mode_free_or_anchored,world_frame_bag_translation_mm,world_frame_bag_rotation_deg,bag_frame_local_deformation_mm,rigid_like_flag,shoulder_joint_max_delta_deg,belly_joint_max_delta_deg,fold_joint_max_delta_deg,bottom_sling_max_travel_mm,joint_limit_hit_count,shoulder_deflection_mm,top_patch_change_mm,lower_belly_opening_mm,width_reduction_mm,bottom_sag_mm,top_drop_mm,fold_exposed_fraction_before_after,requested_target_label,actual_region_label_at_close,trapped_patch_count,pull_test_slip_mm,load_following_ratio,scoop_engaged,support_state_formed
underfilled,shoulder_poke_left,free,12.1922,7.4103,43.4838,False,22.1783,11.6725,0.0500,2.3568,0,21.4253,0.2118,41.4866,0.0000,6.6315,0.0000,1.000->1.000,shoulder_left,shoulder_left,22,12.1922,2.0000,False,False
underfilled,shoulder_poke_right,free,12.2392,7.4909,44.3406,False,22.3288,11.6044,0.0493,1.9920,0,21.5755,0.2144,42.1456,0.0000,6.7888,0.0000,1.000->1.000,shoulder_right,shoulder_right,22,12.2392,2.0000,False,False
underfilled,top_preload,free,153.6890,109.2628,325.3381,False,21.9137,10.1334,15.8652,29.0535,12,60.8987,212.0274,213.6116,0.0000,324.4114,25.3239,1.000->1.000,top_seam,top_seam,27,153.6890,1.5300,False,False
underfilled,side_push,free,0.1166,0.0117,3.1362,False,2.5858,2.1567,0.0539,1.6981,0,2.5157,0.2529,2.2227,0.0000,1.6301,0.0000,1.000->1.000,side_gusset,side_gusset,2,0.0000,2.0000,False,False
underfilled,scoop_insert,free,78.0571,6.3584,458.8660,False,976.1225,1382.0686,2.6219,47.9438,7,851.8275,5.4289,370.2255,0.0000,457.8849,0.0246,1.000->1.000,lower_belly,lower_belly,25,0.0000,2.0000,True,False
underfilled,support_release,free,0.5366,0.0130,0.8102,False,0.2859,0.5420,0.0583,0.2757,0,0.2715,0.3381,0.8025,0.0000,0.5701,0.0000,1.000->1.000,hidden_support,hidden_support,0,0.0000,1.6864,False,True
underfilled,fold_brushing,free,0.4262,0.0106,0.6447,False,0.2310,0.4271,0.0536,0.2073,0,0.2177,0.2531,0.6346,0.0000,0.4594,0.0000,1.000->1.000,not_applicable,not_applicable,0,0.0000,1.8156,False,False
underfilled,shoulder_poke_left,anchored,10.4092,6.6379,38.7979,False,21.1114,12.1117,0.0499,2.1740,0,20.4076,0.2129,37.0530,0.0000,6.5681,0.0000,1.000->1.000,shoulder_left,shoulder_left,22,10.4092,2.0000,False,False
underfilled,shoulder_poke_right,anchored,10.4322,6.6462,38.8650,False,21.1307,12.1033,0.0493,2.1546,0,20.4264,0.2139,37.1375,0.0000,6.5751,0.0000,1.000->1.000,shoulder_right,shoulder_right,22,10.4322,2.0000,False,False
underfilled,top_preload,anchored,68.5207,58.1297,233.5376,False,23.5018,9.5522,13.2852,23.3976,10,43.3376,151.1187,152.1765,0.0000,222.8706,24.9523,1.000->1.000,top_seam,top_seam,27,68.5207,1.4748,False,False
underfilled,side_push,anchored,0.1130,0.0116,3.1322,False,2.5840,2.1563,0.0540,1.6979,0,2.5139,0.2527,2.2194,0.0000,1.6299,0.0000,1.000->1.000,side_gusset,side_gusset,2,0.0000,2.0000,False,False
underfilled,scoop_insert,anchored,32.5796,3.7461,455.0283,False,960.1931,1378.3257,1.4530,44.6763,7,837.9266,2.4987,365.5018,0.0000,455.0214,0.0018,1.000->1.000,lower_belly,lower_belly,24,0.0000,2.0000,True,False
underfilled,support_release,anchored,0.5192,0.0133,0.7922,False,0.2769,0.5312,0.0584,0.2701,0,0.2634,0.3380,0.7822,0.0000,0.5485,0.0000,1.000->1.000,hidden_support,hidden_support,0,0.0000,1.6231,False,True
underfilled,fold_brushing,anchored,0.4146,0.0106,0.6325,False,0.2248,0.4202,0.0537,0.2059,0,0.2123,0.2529,0.6211,0.0000,0.4441,0.0000,1.000->1.000,not_applicable,not_applicable,0,0.0000,1.7560,False,False
