index,name,category
0,world,other
1,bag_frame,other
2,visual_skin,other
3,sealed_top_cap_visual,other
4,left_end_cap_visual,end_cap_visual
5,right_end_cap_visual,end_cap_visual
6,visual_print_mark,other
7,visible_articulated_outer_shell,other
8,top_grasp_rail,other
9,slice_00_left_end,other
10,top_seam_band_00,visible_outer_shell
11,upper_left_00,visible_outer_shell
12,lower_left_00,visible_outer_shell
13,bottom_00,visible_outer_shell
14,upper_right_00,visible_outer_shell
15,lower_right_00,visible_outer_shell
16,slice_01_left_mid,other
17,top_seam_band_01,visible_outer_shell
18,upper_left_01,visible_outer_shell
19,lower_left_01,visible_outer_shell
20,bottom_01,visible_outer_shell
21,upper_right_01,visible_outer_shell
22,lower_right_01,visible_outer_shell
23,slice_02_center,other
24,top_seam_band_02,visible_outer_shell
25,upper_left_02,visible_outer_shell
26,lower_left_02,visible_outer_shell
27,bottom_02,visible_outer_shell
28,upper_right_02,visible_outer_shell
29,lower_right_02,visible_outer_shell
30,slice_03_right_mid,other
31,top_seam_band_03,visible_outer_shell
32,upper_left_03,visible_outer_shell
33,lower_left_03,visible_outer_shell
34,bottom_03,visible_outer_shell
35,upper_right_03,visible_outer_shell
36,lower_right_03,visible_outer_shell
37,slice_04_right_end,other
38,top_seam_band_04,visible_outer_shell
39,upper_left_04,visible_outer_shell
40,lower_left_04,visible_outer_shell
41,bottom_04,visible_outer_shell
42,upper_right_04,visible_outer_shell
43,lower_right_04,visible_outer_shell
44,side_panel_left,other
45,side_panel_right,other
46,hidden_inner_load_shell,other
47,inner_upper_00,hidden_inner_shell
48,inner_lower_00,hidden_inner_shell
49,inner_bottom_00,hidden_inner_shell
50,inner_upper_01,hidden_inner_shell
51,inner_lower_01,hidden_inner_shell
52,inner_bottom_01,hidden_inner_shell
53,inner_upper_02,hidden_inner_shell
54,inner_lower_02,hidden_inner_shell
55,inner_bottom_02,hidden_inner_shell
56,inner_upper_03,hidden_inner_shell
57,inner_lower_03,hidden_inner_shell
58,inner_bottom_03,hidden_inner_shell
59,inner_upper_04,hidden_inner_shell
60,inner_lower_04,hidden_inner_shell
61,inner_bottom_04,hidden_inner_shell
62,ballast_main,ballast
63,ballast_aux_1,ballast
64,ballast_aux_2,ballast
65,ballast_aux_3,ballast
66,optional_top_edge_occlusion_patch,other
67,top_edge_occlusion_left,other
68,top_edge_occlusion_right,other
69,neighbor_left,support_neighbor
70,neighbor_right,support_neighbor
71,hidden_support,support_neighbor
72,dual_robot_frame,robots
73,ur5e_2f140_mount,robots
74,ur5e_2f140_base,robots
75,ur5e_2f140_shoulder_link,robots
76,ur5e_2f140_upper_arm_link,robots
77,ur5e_2f140_forearm_link,robots
78,ur5e_2f140_wrist_1_link,robots
79,ur5e_2f140_wrist_2_link,robots
80,ur5e_2f140_wrist_3_link,robots
81,ur5e_2f140_tool_frame,robots
82,robotiq_2f140,robots
83,robotiq_2f140_finger_left,robots
84,robotiq_2f140_finger_right,robots
85,ur5e_scoop_mount,robots
86,ur5e_scoop_base,robots
87,ur5e_scoop_shoulder_link,robots
88,ur5e_scoop_upper_arm_link,robots
89,ur5e_scoop_forearm_link,robots
90,ur5e_scoop_wrist_1_link,robots
91,ur5e_scoop_wrist_2_link,robots
92,ur5e_scoop_wrist_3_link,robots
93,ur5e_scoop_tool_frame,robots
94,scoop_tool,robots
