index,name,category
0,bag_frame_freejoint,other
1,top_grasp_rail_pitch,other
2,top_seam_band_00_hinge,other
3,upper_left_00_hinge,other
4,lower_left_00_hinge,other
5,bottom_00_hinge,other
6,upper_right_00_hinge,other
7,lower_right_00_hinge,other
8,top_seam_band_01_hinge,other
9,upper_left_01_hinge,other
10,lower_left_01_hinge,other
11,bottom_01_hinge,other
12,upper_right_01_hinge,other
13,lower_right_01_hinge,other
14,top_seam_band_02_hinge,other
15,upper_left_02_hinge,other
16,lower_left_02_hinge,other
17,bottom_02_hinge,other
18,upper_right_02_hinge,other
19,lower_right_02_hinge,other
20,top_seam_band_03_hinge,other
21,upper_left_03_hinge,other
22,lower_left_03_hinge,other
23,bottom_03_hinge,other
24,upper_right_03_hinge,other
25,lower_right_03_hinge,other
26,top_seam_band_04_hinge,other
27,upper_left_04_hinge,other
28,lower_left_04_hinge,other
29,bottom_04_hinge,other
30,upper_right_04_hinge,other
31,lower_right_04_hinge,other
32,side_panel_left_hinge,other
33,side_panel_right_hinge,other
34,inner_upper_00_hinge,other
35,inner_lower_00_hinge,other
36,inner_bottom_00_hinge,other
37,inner_upper_01_hinge,other
38,inner_lower_01_hinge,other
39,inner_bottom_01_hinge,other
40,inner_upper_02_hinge,other
41,inner_lower_02_hinge,other
42,inner_bottom_02_hinge,other
43,inner_upper_03_hinge,other
44,inner_lower_03_hinge,other
45,inner_bottom_03_hinge,other
46,inner_upper_04_hinge,other
47,inner_lower_04_hinge,other
48,inner_bottom_04_hinge,other
49,ballast_main_x,other
50,ballast_main_y,other
51,ballast_main_z,other
52,ballast_aux_1_x,other
53,ballast_aux_1_y,other
54,ballast_aux_1_z,other
55,ballast_aux_2_x,other
56,ballast_aux_2_y,other
57,ballast_aux_2_z,other
58,ballast_aux_3_x,other
59,ballast_aux_3_y,other
60,ballast_aux_3_z,other
61,top_edge_occlusion_left_hinge,other
62,top_edge_occlusion_right_hinge,other
63,ur5e_2f140_shoulder_pan_joint,other
64,ur5e_2f140_shoulder_lift_joint,other
65,ur5e_2f140_elbow_joint,other
66,ur5e_2f140_wrist_1_joint,other
67,ur5e_2f140_wrist_2_joint,other
68,ur5e_2f140_wrist_3_joint,other
69,finger_left_slide,other
70,finger_right_slide,other
71,ur5e_scoop_shoulder_pan_joint,other
72,ur5e_scoop_shoulder_lift_joint,other
73,ur5e_scoop_elbow_joint,other
74,ur5e_scoop_wrist_1_joint,other
75,ur5e_scoop_wrist_2_joint,other
76,ur5e_scoop_wrist_3_joint,other
