index,name,category
0,site_bag_frame,other
1,site_left_end_cap_visual,other
2,site_right_end_cap_visual,other
3,site_side_left_center,other
4,site_side_right_center,other
5,site_lower_left_center,other
6,site_lower_right_center,other
7,site_top_grasp_rail_center,other
8,site_top_seam_00,indexed_top_seam_site
9,site_top_seam_left,seam_candidate_window
10,site_upper_left_00,other
11,site_shoulder_left_00,other
12,site_lower_left_00,other
13,site_bottom_edge_left_00,other
14,site_bottom_00,other
15,site_upper_right_00,other
16,site_shoulder_right_00,other
17,site_lower_right_00,other
18,site_bottom_edge_right_00,other
19,site_top_seam_01,indexed_top_seam_site
20,site_top_seam_left_center,seam_candidate_window
21,site_upper_left_01,other
22,site_shoulder_left_01,other
23,site_lower_left_01,other
24,site_bottom_edge_left_01,other
25,site_bottom_01,other
26,site_upper_right_01,other
27,site_shoulder_right_01,other
28,site_lower_right_01,other
29,site_bottom_edge_right_01,other
30,site_top_seam_02,indexed_top_seam_site
31,site_top_seam_center,seam_candidate_window
32,site_upper_left_02,other
33,site_shoulder_left_02,other
34,site_lower_left_02,other
35,site_bottom_edge_left_02,other
36,site_bottom_02,other
37,site_bottom_center,other
38,site_upper_right_02,other
39,site_shoulder_right_02,other
40,site_lower_right_02,other
41,site_bottom_edge_right_02,other
42,site_top_seam_03,indexed_top_seam_site
43,site_top_seam_right_center,seam_candidate_window
44,site_upper_left_03,other
45,site_shoulder_left_03,other
46,site_lower_left_03,other
47,site_bottom_edge_left_03,other
48,site_bottom_03,other
49,site_upper_right_03,other
50,site_shoulder_right_03,other
51,site_lower_right_03,other
52,site_bottom_edge_right_03,other
53,site_top_seam_04,indexed_top_seam_site
54,site_top_seam_right,seam_candidate_window
55,site_upper_left_04,other
56,site_shoulder_left_04,other
57,site_lower_left_04,other
58,site_bottom_edge_left_04,other
59,site_bottom_04,other
60,site_upper_right_04,other
61,site_shoulder_right_04,other
62,site_lower_right_04,other
63,site_bottom_edge_right_04,other
64,site_side_panel_left_center,other
65,site_side_panel_right_center,other
66,site_inner_upper_00,other
67,site_inner_lower_00,other
68,site_inner_bottom_00,other
69,site_inner_upper_01,other
70,site_inner_lower_01,other
71,site_inner_bottom_01,other
72,site_inner_upper_02,other
73,site_inner_lower_02,other
74,site_inner_bottom_02,other
75,site_inner_upper_03,other
76,site_inner_lower_03,other
77,site_inner_bottom_03,other
78,site_inner_upper_04,other
79,site_inner_lower_04,other
80,site_inner_bottom_04,other
81,site_ballast_main,other
82,site_ballast_aux_1,other
83,site_ballast_aux_2,other
84,site_ballast_aux_3,other
85,site_top_edge_occlusion_left,other
86,site_top_edge_occlusion_right,other
87,ur5e_2f140_ee_site,other
88,robotiq_2f140_center_site,other
89,finger_left_pad_site,other
90,finger_right_pad_site,other
91,ur5e_scoop_ee_site,other
92,scoop_tip_site,other
