scenario_name,test_name,mode_free_or_anchored,time_s,world_frame_bag_translation_mm,world_frame_bag_rotation_deg,bag_frame_local_deformation_mm,shoulder_deflection_mm,top_patch_change_mm,lower_belly_opening_mm,width_reduction_mm,bottom_sag_mm,top_drop_mm
baseline_filled,shoulder_poke_left,free,0.0000,0.0002,0.0000,0.0065,0.0016,0.0000,0.0000,0.0003,0.0000,0.0000
baseline_filled,shoulder_poke_left,free,0.0200,0.1459,0.1269,0.1397,0.0346,0.0009,0.0005,0.0067,0.0000,0.0000
baseline_filled,shoulder_poke_left,free,0.0400,0.3917,0.3467,0.2783,0.0692,0.0019,0.0026,0.0136,0.0000,0.0000
baseline_filled,shoulder_poke_left,free,0.0600,0.6238,0.5539,0.4222,0.1053,0.0029,0.0064,0.0210,0.0000,0.0000
baseline_filled,shoulder_poke_left,free,0.0800,0.8615,0.7486,0.5713,0.1428,0.0039,0.0118,0.0288,0.0000,0.0000
baseline_filled,shoulder_poke_left,free,0.1000,1.1220,0.9464,0.7258,0.1820,0.0049,0.0184,0.0370,0.0000,0.0000
baseline_filled,shoulder_poke_left,free,0.1200,1.4152,1.1602,0.8853,0.2229,0.0059,0.0259,0.0457,0.0000,0.0000
baseline_filled,shoulder_poke_left,free,0.1400,1.7540,1.4005,1.0496,0.2655,0.0068,0.0343,0.0549,0.0000,0.0000
baseline_filled,shoulder_poke_left,free,0.1600,2.1745,1.6719,1.2246,0.3099,0.0076,0.0432,0.0636,0.0000,0.0000
baseline_filled,shoulder_poke_left,free,0.1800,2.7015,1.9881,1.4238,0.3561,0.0084,0.0526,0.0702,0.1196,0.0000
baseline_filled,shoulder_poke_left,free,0.2000,3.3050,2.3785,1.6476,0.4041,0.0092,0.0621,0.0748,0.2594,0.0000
baseline_filled,shoulder_poke_left,free,0.2200,4.0125,2.8579,1.8942,0.4538,0.0099,0.0716,0.0775,0.3486,0.0000
baseline_filled,shoulder_poke_left,free,0.2390,4.8242,3.4096,2.1481,0.5026,0.0105,0.0805,0.0784,0.3949,0.0000
baseline_filled,shoulder_poke_right,free,0.0000,0.0002,0.0000,0.0065,0.0016,0.0000,0.0000,0.0003,0.0000,0.0000
baseline_filled,shoulder_poke_right,free,0.0200,0.1450,0.1274,0.1397,0.0347,0.0009,0.0007,0.0067,0.0000,0.0000
baseline_filled,shoulder_poke_right,free,0.0400,0.3907,0.3489,0.2786,0.0694,0.0019,0.0029,0.0136,0.0000,0.0000
baseline_filled,shoulder_poke_right,free,0.0600,0.6230,0.5583,0.4229,0.1058,0.0028,0.0071,0.0210,0.0000,0.0000
baseline_filled,shoulder_poke_right,free,0.0800,0.8611,0.7554,0.5724,0.1439,0.0038,0.0128,0.0288,0.0000,0.0000
baseline_filled,shoulder_poke_right,free,0.1000,1.1223,0.9556,0.7272,0.1836,0.0048,0.0197,0.0370,0.0000,0.0000
baseline_filled,shoulder_poke_right,free,0.1200,1.4168,1.1716,0.8870,0.2250,0.0057,0.0277,0.0457,0.0000,0.0000
baseline_filled,shoulder_poke_right,free,0.1400,1.7573,1.4143,1.0517,0.2679,0.0067,0.0365,0.0549,0.0000,0.0000
baseline_filled,shoulder_poke_right,free,0.1600,2.1748,1.6918,1.2281,0.3126,0.0076,0.0461,0.0636,0.0000,0.0000
baseline_filled,shoulder_poke_right,free,0.1800,2.7041,2.0121,1.4294,0.3591,0.0085,0.0562,0.0703,0.1157,0.0000
baseline_filled,shoulder_poke_right,free,0.2000,3.3141,2.4060,1.6552,0.4074,0.0093,0.0664,0.0748,0.2560,0.0000
baseline_filled,shoulder_poke_right,free,0.2200,4.0293,2.8901,1.9037,0.4574,0.0102,0.0765,0.0775,0.3465,0.0000
