scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
baseline_filled,shoulder_poke_left,free,back_face_00_hinge,hinge_deg,1.163743,False
baseline_filled,shoulder_poke_left,free,back_face_01_hinge,hinge_deg,0.967670,False
baseline_filled,shoulder_poke_left,free,back_face_02_hinge,hinge_deg,0.991685,False
baseline_filled,shoulder_poke_left,free,back_face_03_hinge,hinge_deg,1.237080,False
baseline_filled,shoulder_poke_left,free,bottom_sling_left_hinge,hinge_deg,0.048716,False
baseline_filled,shoulder_poke_left,free,bottom_sling_right_hinge,hinge_deg,0.056834,False
baseline_filled,shoulder_poke_left,free,bottom_sling_slide,slide_mm,0.396826,False
baseline_filled,shoulder_poke_left,free,fold_patch_left_hinge,hinge_deg,5.842223,False
baseline_filled,shoulder_poke_left,free,fold_patch_right_hinge,hinge_deg,5.864987,False
baseline_filled,shoulder_poke_left,free,front_face_00_hinge,hinge_deg,1.180920,False
baseline_filled,shoulder_poke_left,free,front_face_01_hinge,hinge_deg,0.984686,False
baseline_filled,shoulder_poke_left,free,front_face_02_hinge,hinge_deg,1.008720,False
baseline_filled,shoulder_poke_left,free,front_face_03_hinge,hinge_deg,1.253426,False
baseline_filled,shoulder_poke_left,free,lower_belly_00_hinge,hinge_deg,0.231888,False
baseline_filled,shoulder_poke_left,free,lower_belly_01_hinge,hinge_deg,0.232364,False
baseline_filled,shoulder_poke_left,free,lower_belly_02_hinge,hinge_deg,0.231556,False
baseline_filled,shoulder_poke_left,free,lower_belly_03_hinge,hinge_deg,0.232021,False
baseline_filled,shoulder_poke_left,free,lower_belly_04_hinge,hinge_deg,0.231847,False
baseline_filled,shoulder_poke_left,free,lower_belly_05_hinge,hinge_deg,0.231978,False
baseline_filled,shoulder_poke_left,free,payload_aux_x,slide_mm,0.050011,False
baseline_filled,shoulder_poke_left,free,payload_aux_y,slide_mm,0.026287,False
baseline_filled,shoulder_poke_left,free,payload_aux_z,slide_mm,0.231861,False
baseline_filled,shoulder_poke_left,free,payload_left_x,slide_mm,0.109480,False
baseline_filled,shoulder_poke_left,free,payload_left_y,slide_mm,0.063641,False
baseline_filled,shoulder_poke_left,free,payload_left_z,slide_mm,0.328012,False
baseline_filled,shoulder_poke_left,free,payload_main_x,slide_mm,0.011558,False
baseline_filled,shoulder_poke_left,free,payload_main_y,slide_mm,0.040250,False
baseline_filled,shoulder_poke_left,free,payload_main_z,slide_mm,0.382558,False
baseline_filled,shoulder_poke_left,free,payload_right_x,slide_mm,0.061263,False
baseline_filled,shoulder_poke_left,free,payload_right_y,slide_mm,0.163562,False
baseline_filled,shoulder_poke_left,free,payload_right_z,slide_mm,0.390180,False
baseline_filled,shoulder_poke_left,free,shoulder_left_00_hinge,hinge_deg,0.845142,False
baseline_filled,shoulder_poke_left,free,shoulder_left_01_hinge,hinge_deg,4.695964,False
baseline_filled,shoulder_poke_left,free,shoulder_left_02_hinge,hinge_deg,1.097032,False
baseline_filled,shoulder_poke_left,free,shoulder_left_03_hinge,hinge_deg,4.632653,False
baseline_filled,shoulder_poke_left,free,shoulder_left_04_hinge,hinge_deg,0.772610,False
baseline_filled,shoulder_poke_left,free,shoulder_right_00_hinge,hinge_deg,0.833988,False
baseline_filled,shoulder_poke_left,free,shoulder_right_01_hinge,hinge_deg,4.694651,False
baseline_filled,shoulder_poke_left,free,shoulder_right_02_hinge,hinge_deg,1.090952,False
baseline_filled,shoulder_poke_left,free,shoulder_right_03_hinge,hinge_deg,4.637184,False
baseline_filled,shoulder_poke_left,free,shoulder_right_04_hinge,hinge_deg,0.761042,False
baseline_filled,shoulder_poke_left,free,side_gusset_left_00_hinge,hinge_deg,0.444075,False
baseline_filled,shoulder_poke_left,free,side_gusset_left_01_hinge,hinge_deg,0.750917,False
baseline_filled,shoulder_poke_left,free,side_gusset_left_02_hinge,hinge_deg,0.491573,False
baseline_filled,shoulder_poke_left,free,side_gusset_right_00_hinge,hinge_deg,0.454994,False
baseline_filled,shoulder_poke_left,free,side_gusset_right_01_hinge,hinge_deg,0.761446,False
baseline_filled,shoulder_poke_left,free,side_gusset_right_02_hinge,hinge_deg,0.501529,False
baseline_filled,shoulder_poke_left,free,top_seam_00_hinge,hinge_deg,0.075430,False
baseline_filled,shoulder_poke_left,free,top_seam_01_hinge,hinge_deg,0.009888,False
