scenario_name,test_name,mode_free_or_anchored,world_frame_bag_translation_mm,world_frame_bag_rotation_deg,bag_frame_local_deformation_mm,rigid_like_flag,shoulder_joint_max_delta_deg,belly_joint_max_delta_deg,fold_joint_max_delta_deg,bottom_sling_max_travel_mm,joint_limit_hit_count,shoulder_deflection_mm,top_patch_change_mm,lower_belly_opening_mm,width_reduction_mm,bottom_sag_mm,top_drop_mm,fold_exposed_fraction_before_after,requested_target_label,actual_region_label_at_close,trapped_patch_count,pull_test_slip_mm,load_following_ratio,scoop_engaged,support_state_formed
baseline_filled,shoulder_poke_left,free,4.8242,3.4096,2.1481,False,4.6960,0.2324,5.8650,0.3968,0,0.5026,0.0105,0.0805,0.0784,0.3949,0.0000,1.000->1.000,shoulder_left,shoulder_left,8,4.8242,2.0000,False,False
baseline_filled,shoulder_poke_right,free,4.8497,3.4477,2.1591,False,4.7202,0.2483,5.8470,0.3959,0,0.5064,0.0109,0.0860,0.0785,0.3940,0.0000,1.000->1.000,shoulder_right,shoulder_right,8,4.8497,2.0000,False,False
baseline_filled,top_preload,free,1.5619,1.1030,2.1628,False,4.7279,0.0079,15.2455,0.5593,0,0.4983,1.1584,0.0026,0.0809,0.5590,0.0839,1.000->1.000,top_seam,top_seam,9,1.5619,0.4826,False,False
baseline_filled,side_push,free,0.2991,0.0303,2.7425,False,5.9960,0.0189,7.0582,0.4512,0,0.6117,0.0110,0.0066,0.0792,0.4509,0.0000,1.000->1.000,side_gusset,side_gusset,8,0.0000,2.0000,False,False
baseline_filled,scoop_insert,free,22.8717,8.0066,21.7027,False,6.6024,30.7955,7.7335,21.7025,0,0.6255,0.0126,10.4077,0.0870,0.0000,0.0000,1.000->1.000,lower_belly,lower_belly,8,0.0000,0.0000,True,False
baseline_filled,support_release,free,0.3014,0.0116,4.1103,False,8.9873,0.0112,9.2311,0.4539,0,0.8494,0.0138,0.0038,0.0780,0.4536,0.0000,1.000->1.000,hidden_support,hidden_support,8,0.0000,2.0000,False,False
baseline_filled,fold_brushing,free,0.3014,0.0098,2.7475,False,6.0071,0.0086,7.0454,0.4539,0,0.6123,0.0122,0.0030,0.0780,0.4536,0.0000,1.000->1.000,not_applicable,not_applicable,8,0.0000,2.0000,False,False
baseline_filled,shoulder_poke_left,anchored,0.6333,0.4533,2.1488,False,4.6975,0.1567,5.8594,0.4101,0,0.5013,0.0101,0.0543,0.0784,0.4082,0.0000,1.000->1.000,shoulder_left,shoulder_left,8,0.6333,2.0000,False,False
baseline_filled,shoulder_poke_right,anchored,0.6211,0.4615,2.1577,False,4.7172,0.1704,5.8566,0.4082,0,0.5049,0.0108,0.0590,0.0785,0.4063,0.0000,1.000->1.000,shoulder_right,shoulder_right,8,0.6211,2.0000,False,False
baseline_filled,top_preload,anchored,0.9298,0.7459,2.1588,False,4.7191,0.0067,15.8176,0.5970,0,0.4957,0.9869,0.0021,0.0824,0.5967,0.0609,1.000->1.000,top_seam,top_seam,9,0.9298,0.6046,False,False
baseline_filled,side_push,anchored,0.2905,0.0289,2.7474,False,6.0067,0.0191,7.0367,0.4526,0,0.6117,0.0125,0.0066,0.0791,0.4523,0.0000,1.000->1.000,side_gusset,side_gusset,8,0.0000,2.0000,False,False
baseline_filled,scoop_insert,anchored,21.9127,3.2355,22.9241,False,6.6098,30.3315,7.7155,23.1174,0,0.6292,0.0128,10.2368,0.0863,0.0000,0.0000,1.000->1.000,lower_belly,lower_belly,8,0.0000,0.0000,True,False
baseline_filled,support_release,anchored,0.2901,0.0097,4.1103,False,8.9874,0.0110,9.2112,0.4532,0,0.8494,0.0143,0.0038,0.0779,0.4529,0.0000,1.000->1.000,hidden_support,hidden_support,8,0.0000,2.0000,False,False
baseline_filled,fold_brushing,anchored,0.2901,0.0097,2.7476,False,6.0071,0.0085,7.0332,0.4532,0,0.6124,0.0123,0.0030,0.0779,0.4529,0.0000,1.000->1.000,not_applicable,not_applicable,8,0.0000,2.0000,False,False
