scenario_name,test_name,mode_free_or_anchored,time_s,world_frame_bag_translation_mm,world_frame_bag_rotation_deg,bag_frame_local_deformation_mm,shoulder_deflection_mm,top_patch_change_mm,lower_belly_opening_mm,width_reduction_mm,bottom_sag_mm,top_drop_mm
underfilled,shoulder_poke_left,free,0.0000,0.0004,0.0071,0.0152,0.0020,0.0000,0.0037,0.0005,0.0003,0.0000
underfilled,shoulder_poke_left,free,0.0200,0.1115,0.2532,0.3223,0.0522,0.0006,0.0790,0.0141,0.0547,0.0000
underfilled,shoulder_poke_left,free,0.0400,0.3279,0.5981,0.6267,0.1173,0.0013,0.1582,0.0334,0.1770,0.0000
underfilled,shoulder_poke_left,free,0.0600,0.5263,0.9250,0.9214,0.1913,0.0020,0.2409,0.0584,0.3104,0.0000
underfilled,shoulder_poke_left,free,0.0800,0.6532,1.1759,1.2039,0.2717,0.0028,0.3263,0.0888,0.4177,0.0000
underfilled,shoulder_poke_left,free,0.1000,0.7145,1.3484,1.4855,0.3571,0.0036,0.4134,0.1245,0.4855,0.0000
underfilled,shoulder_poke_left,free,0.1200,0.7503,1.4819,1.7717,0.4464,0.0044,0.5014,0.1653,0.5319,0.0000
underfilled,shoulder_poke_left,free,0.1400,0.8031,1.6167,2.0555,0.5383,0.0052,0.5896,0.2111,0.5665,0.0000
underfilled,shoulder_poke_left,free,0.1600,0.8920,1.7718,2.3369,0.6322,0.0060,0.6775,0.2618,0.6073,0.0000
underfilled,shoulder_poke_left,free,0.1800,1.0280,1.9607,2.6158,0.7276,0.0067,0.7650,0.3172,0.6721,0.0000
underfilled,shoulder_poke_left,free,0.2000,1.2083,2.1832,2.8921,0.8239,0.0074,0.8521,0.3772,0.7658,0.0000
underfilled,shoulder_poke_left,free,0.2200,1.4206,2.4329,3.1659,0.9204,0.0080,0.9387,0.4416,0.8939,0.0000
underfilled,shoulder_poke_left,free,0.2390,1.6374,2.6847,3.4236,1.0119,0.0085,1.0208,0.5067,1.0450,0.0000
underfilled,shoulder_poke_right,free,0.0000,0.0004,0.0071,0.0152,0.0020,0.0000,0.0037,0.0005,0.0003,0.0000
underfilled,shoulder_poke_right,free,0.0200,0.2402,0.1033,0.3179,0.0483,0.0006,0.0760,0.0141,0.0003,0.0000
underfilled,shoulder_poke_right,free,0.0400,0.6103,0.4154,0.6130,0.1029,0.0012,0.1441,0.0334,0.0003,0.0000
underfilled,shoulder_poke_right,free,0.0600,0.9818,0.7407,0.9084,0.1627,0.0019,0.2076,0.0583,0.0003,0.0000
underfilled,shoulder_poke_right,free,0.0800,1.4650,1.0868,1.2010,0.2262,0.0026,0.2676,0.0887,0.0003,0.0000
underfilled,shoulder_poke_right,free,0.1000,2.1024,1.4802,1.4906,0.2929,0.0033,0.3250,0.1244,0.0003,0.0000
