scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,shoulder_poke_left,free,back_face_00_hinge,hinge_deg,2.628652,False
underfilled,shoulder_poke_left,free,back_face_01_hinge,hinge_deg,2.650044,False
underfilled,shoulder_poke_left,free,back_face_02_hinge,hinge_deg,2.586729,False
underfilled,shoulder_poke_left,free,back_face_03_hinge,hinge_deg,2.435944,False
underfilled,shoulder_poke_left,free,bottom_sling_left_hinge,hinge_deg,0.554223,False
underfilled,shoulder_poke_left,free,bottom_sling_right_hinge,hinge_deg,0.532144,False
underfilled,shoulder_poke_left,free,bottom_sling_slide,slide_mm,1.053242,False
underfilled,shoulder_poke_left,free,fold_patch_left_hinge,hinge_deg,1.622743,False
underfilled,shoulder_poke_left,free,fold_patch_right_hinge,hinge_deg,5.277277,False
underfilled,shoulder_poke_left,free,front_face_00_hinge,hinge_deg,2.534201,False
underfilled,shoulder_poke_left,free,front_face_01_hinge,hinge_deg,2.555045,False
underfilled,shoulder_poke_left,free,front_face_02_hinge,hinge_deg,2.491667,False
underfilled,shoulder_poke_left,free,front_face_03_hinge,hinge_deg,2.340837,False
underfilled,shoulder_poke_left,free,lower_belly_00_hinge,hinge_deg,3.002870,False
underfilled,shoulder_poke_left,free,lower_belly_01_hinge,hinge_deg,2.996432,False
underfilled,shoulder_poke_left,free,lower_belly_02_hinge,hinge_deg,2.926557,False
underfilled,shoulder_poke_left,free,lower_belly_03_hinge,hinge_deg,2.920719,False
underfilled,shoulder_poke_left,free,lower_belly_04_hinge,hinge_deg,3.007021,False
underfilled,shoulder_poke_left,free,lower_belly_05_hinge,hinge_deg,3.004188,False
underfilled,shoulder_poke_left,free,payload_aux_x,slide_mm,0.249715,False
underfilled,shoulder_poke_left,free,payload_aux_y,slide_mm,0.018967,False
underfilled,shoulder_poke_left,free,payload_aux_z,slide_mm,1.074691,False
underfilled,shoulder_poke_left,free,payload_left_x,slide_mm,0.520851,False
underfilled,shoulder_poke_left,free,payload_left_y,slide_mm,0.098614,False
