scenario_name,test_name,mode_free_or_anchored,world_frame_bag_translation_mm,world_frame_bag_rotation_deg,bag_frame_local_deformation_mm,rigid_like_flag,shoulder_joint_max_delta_deg,belly_joint_max_delta_deg,fold_joint_max_delta_deg,bottom_sling_max_travel_mm,joint_limit_hit_count,shoulder_deflection_mm,top_patch_change_mm,lower_belly_opening_mm,width_reduction_mm,bottom_sag_mm,top_drop_mm,fold_exposed_fraction_before_after,requested_target_label,actual_region_label_at_close,trapped_patch_count,pull_test_slip_mm,load_following_ratio,scoop_engaged,support_state_formed
underfilled,shoulder_poke_left,free,1.6374,2.6847,3.4236,False,6.5499,3.0070,5.2773,1.0532,0,1.0119,0.0085,1.0208,0.5067,1.0450,0.0000,1.000->1.000,shoulder_left,shoulder_left,7,1.6374,2.0000,False,False
underfilled,shoulder_poke_right,free,6.3243,3.5213,3.4298,False,6.2650,2.1290,5.2814,0.9022,0,0.7912,0.0078,0.7162,0.5076,0.3475,0.0000,1.000->1.000,shoulder_right,shoulder_right,7,6.3243,2.0000,False,False
underfilled,top_preload,free,2.5308,3.7249,3.4518,False,6.6328,3.4983,22.2272,3.2234,0,0.5558,1.1142,1.1899,0.5139,3.2237,0.0774,1.000->1.000,top_seam,top_seam,9,2.5308,2.0000,False,False
underfilled,side_push,free,1.5938,2.1459,3.9740,False,6.7070,2.6988,6.5446,0.7894,0,0.6150,0.0090,0.9154,0.6567,0.7820,0.0000,1.000->1.000,side_gusset,side_gusset,7,0.0000,2.0000,False,False
underfilled,scoop_insert,free,18.6768,7.7816,18.9869,False,7.5557,33.4009,7.2585,19.0120,0,0.8765,0.0088,11.2803,0.7296,0.0192,0.0000,1.000->1.000,lower_belly,lower_belly,7,0.0000,2.0000,True,False
underfilled,support_release,free,2.2602,3.3029,4.9938,False,7.8851,3.8158,9.0076,1.6806,0,0.7875,0.0108,1.2977,0.9972,1.6708,0.0000,1.000->1.000,hidden_support,hidden_support,7,0.0000,2.0000,False,True
underfilled,fold_brushing,free,1.6104,2.4618,3.9557,False,6.6958,3.0022,6.5489,0.9529,0,0.6008,0.0097,1.0186,0.6538,0.9451,0.0000,1.000->1.000,not_applicable,not_applicable,7,0.0000,2.0000,False,False
underfilled,shoulder_poke_left,anchored,1.4859,1.8962,3.4234,False,6.5818,2.6040,5.2737,0.3792,0,1.0415,0.0083,0.8822,0.5067,0.3732,0.0000,1.000->1.000,shoulder_left,shoulder_left,7,1.4859,2.0000,False,False
underfilled,shoulder_poke_right,anchored,1.1128,0.2800,3.4309,False,6.2801,2.0960,5.2799,0.7996,0,0.8060,0.0081,0.7059,0.5063,0.0704,0.0000,1.000->1.000,shoulder_right,shoulder_right,7,1.1128,2.0000,False,False
underfilled,top_preload,anchored,1.4522,2.3436,3.4519,False,6.5431,3.0250,20.9590,2.4995,0,0.5883,0.9994,1.0226,0.5139,2.4939,0.0623,1.000->1.000,top_seam,top_seam,9,1.4522,2.0000,False,False
underfilled,side_push,anchored,1.4212,1.3844,3.9752,False,6.7319,2.4160,6.5390,0.6109,0,0.6359,0.0088,0.8179,0.6567,0.2386,0.0000,1.000->1.000,side_gusset,side_gusset,7,0.0000,2.0000,False,False
underfilled,scoop_insert,anchored,21.3813,6.4773,18.9158,False,7.4899,32.2528,7.2614,18.9665,0,0.8703,0.0101,10.8854,0.7301,0.0065,0.0000,1.000->1.000,lower_belly,lower_belly,7,0.0000,0.6495,True,False
underfilled,support_release,anchored,2.0037,2.2022,4.9925,False,7.9209,3.1987,8.9992,0.9402,0,0.8237,0.0090,1.0842,0.9971,0.9330,0.0000,1.000->1.000,hidden_support,hidden_support,7,0.0000,2.0000,False,True
underfilled,fold_brushing,anchored,1.4398,1.6875,3.9558,False,6.7211,2.6528,6.5408,0.4078,0,0.6240,0.0084,0.8981,0.6537,0.4015,0.0000,1.000->1.000,not_applicable,not_applicable,7,0.0000,2.0000,False,False
